Year,Director,Total
1747,John Ward,2
1750,John Ward,2
1751,John Ward,1
1752,John Ward,4
1753,John Ward,3
1754,John Ward,1
1755,John Ward,2
1756,John Ward,1
1757,John Ward,1
1758,John Ward,1
1763,John Taylor,1
1765,John Taylor,4
1767,Greogry Sharpe,1
1768,Greogry Sharpe,1
1769,Greogry Sharpe,1
1770,Greogry Sharpe,1
1780,Richard Gough,7
1784,Richard Gough,2
1786,Richard Gough,5
1788,Richard Gough,2
1789,Richard Gough,11
n/a,John Ward,1
